EAGLE Version 9.4.1 Copyright (c) 1988-2019 Autodesk, Inc.
List of signals with length and its max. frequency / current
exported from E:/Dropbox/Eagle Projects/DLT/DLT_Jetson_Nano.brd
at 17.05.2019 01:17
Signal	f max. [MHz]	l [mm]	A [mm2]	R [mOhm]	w min [mm]	w max [mm]	Imax [A]
GND	   1279.46	234.317	0.005	 764.36	 0.152	 1.270	  0.50
5V	   2227.50	134.590	0.005	 439.05	 0.152	 1.270	  0.50
ENET_LED1	   3219.72	 93.114	0.007	 225.00	 0.206	 0.206	  0.66
UART1_TX	   3320.64	 90.284	0.005	 294.51	 0.152	 0.152	  0.50
UART1_RX	   3322.75	 90.226	0.005	 294.33	 0.152	 0.152	  0.50
GEN3_I2C_SDA	   3554.86	 84.335	0.005	 275.11	 0.152	 0.152	  0.50
1.8V	   3573.07	 83.905	0.005	 273.71	 0.152	 0.152	  0.50
GEN3_I2C_SCL	   3592.48	 83.452	0.005	 272.23	 0.152	 0.152	  0.50
AUD_MCLK	   3676.79	 81.539	0.005	 265.99	 0.152	 0.152	  0.50
#RESET	   3748.34	 79.982	0.005	 260.91	 0.152	 0.305	  0.50
DAP4_FS	   3770.01	 79.522	0.005	 259.41	 0.152	 0.152	  0.50
DAP4_DOUT	   3784.93	 79.209	0.005	 258.39	 0.152	 0.152	  0.50
DAP4_SCLK	   3791.94	 79.062	0.005	 257.91	 0.152	 0.152	  0.50
#RECOVERY	   3955.59	 75.791	0.005	 247.24	 0.152	 0.305	  0.50
ENET_LED0	   4303.40	 69.666	0.007	 168.34	 0.206	 0.206	  0.66
3.3V	   4354.00	 68.856	0.005	 224.62	 0.152	 1.270	  0.50
USB2_D_N	   4516.12	 66.384	0.005	 216.55	 0.152	 0.206	  0.50
USB2_D_P	   4516.49	 66.379	0.005	 216.53	 0.152	 0.206	  0.50
USB0(OTG)_D_P	   4521.02	 66.312	0.007	 162.24	 0.203	 0.206	  0.65
USB0(OTG)_D_N	   4635.75	 64.671	0.007	 158.22	 0.203	 0.206	  0.65
EDP_AUX_C_P	   4688.80	 63.940	0.005	 208.58	 0.152	 0.152	  0.50
EDP_AUX_C_N	   4779.01	 62.733	0.005	 204.64	 0.152	 0.152	  0.50
HDMI_SCL	   4893.06	 61.270	0.005	 199.87	 0.152	 0.152	  0.50
HDMI_SDA	   5030.06	 59.602	0.005	 194.43	 0.152	 0.152	  0.50
DP_HPD_IN	   5284.90	 56.728	0.005	 185.05	 0.152	 0.152	  0.50
HDMI_HPD	   5413.71	 55.378	0.005	 180.65	 0.152	 0.152	  0.50
ENET_TRD3_P	   5494.85	 54.560	0.005	 177.98	 0.152	 0.152	  0.50
ENET_TRD3_N	   5494.85	 54.560	0.005	 177.98	 0.152	 0.152	  0.50
HDMI_PWR	   5734.68	 52.278	0.005	 170.54	 0.152	 0.508	  0.50
USB1_D_N	   5830.88	 51.416	0.007	 125.79	 0.203	 0.206	  0.65
ENET_TRD0_N	   5988.22	 50.065	0.005	 163.32	 0.152	 0.152	  0.50
ENET_TRD0_P	   5991.79	 50.035	0.005	 163.22	 0.152	 0.152	  0.50
ENET_TRD2_N	   6008.39	 49.897	0.005	 162.77	 0.152	 0.152	  0.50
ENET_TRD2_P	   6015.04	 49.842	0.005	 162.59	 0.152	 0.152	  0.50
ENET_TRD1_N	   6043.49	 49.607	0.005	 161.82	 0.152	 0.152	  0.50
ENET_TRD1_P	   6043.83	 49.604	0.005	 161.81	 0.152	 0.152	  0.50
USB1_D_P	   6130.21	 48.905	0.007	 119.65	 0.203	 0.206	  0.65
